IGN,YEAR,POS,NAT,TEAM,BIRTH,CHAMP1,CHAMP2,CHAMP3,LEAGUE
PEANUT,19,Jungler,South Korea,Gen.G,1998-02-03,Lee Sin,Sejuani,Olaf,LCK
FLY,19,Mid Laner,South Korea,Gen.G,1996-02-25,Lissandra,Zoe,Urgot,LCK
RULER,19,Bot Laner,South Korea,Gen.G,1998-12-29,Ezreal,Kai'Sa,Xayah,LCK
LIFE,19,Support,South Korea,Gen.G,2000-07-07,Tahm Kench,Braum,Rakan,LCK
SW0RD,19,Top Laner,South Korea,Griffin,1997-06-16,Jayce,Sion,Urgot,LCK
TARZAN,19,Jungler,South Korea,Griffin,1999-08-23,Sejuani,Elise,Olaf,LCK
CHOVY,19,Mid Laner,South Korea,Griffin,2001-03-03,Akali,Irelia,Zoe,LCK
VIPER,19,Bot Laner,South Korea,Griffin,2000-10-19,Ezreal,Kai'Sa,Lucian,LCK
LEHENDS,19,Support,South Korea,Griffin,1998-12-24,Tahm Kench,Rakan,Yuumi,LCK
THAL,19,Top Laner,South Korea,Hanwha Life Esports,1998-11-13,Vladimir,Urgot,Yorick,LCK
SOHWAN,19,Top Laner,South Korea,Hanwha Life Esports,1996-10-24,Kennen,Irelia,Aatrox,LCK
BONO,19,Jungler,South Korea,Hanwha Life Esports,1995-02-27,Olaf,Jarvan IV,Lee Sin,LCK
MOOJIN,19,Jungler,South Korea,Hanwha Life Esports,1998-04-09,Jarvan IV,Olaf,Sejuani,LCK
LAVA,19,Mid Laner,South Korea,Hanwha Life Esports,1999-07-14,LeBlanc,Lissandra,Azir,LCK
TEMPT,19,Mid Laner,South Korea,Hanwha Life Esports,1998-05-13,Zoe,Corki,Azir,LCK
SANGYOON,19,Bot Laner,South Korea,Hanwha Life Esports,1995-12-20,Kai'Sa,Ezreal,Ashe,LCK
KEY,19,Support,South Korea,Hanwha Life Esports,1997-06-20,Tahm Kench,Thresh,Braum,LCK
LINDARANG,19,Top Laner,South Korea,Jin Air Green Wings,1997-08-25,Aatrox,Sion,Kennen,LCK
TANA,19,Top Laner,South Korea,Jin Air Green Wings,1999-12-11,Jayce,Irelia,Neeko,LCK
MALRANG,19,Jungler,South Korea,Jin Air Green Wings,2000-02-09,Xin Zhao,Lee Sin,Olaf,LCK
SEIZE,19,Jungler,South Korea,Jin Air Green Wings,2000-12-07,Jarvan IV,Karthus,Xin Zhao,LCK
CHEONGO,19,Mid Laner,South Korea,Jin Air Green Wings,1999-03-10,Azir,Zed,Jayce,LCK
YAHARONG,19,Mid Laner,South Korea,Jin Air Green Wings,2000-06-12,Lissandra,Zoe,Azir,LCK
ROUTE,19,Bot Laner,South Korea,Jin Air Green Wings,1999-01-05,Ezreal,Lucian,Kai'Sa,LCK
STITCH,19,Bot Laner,South Korea,Jin Air Green Wings,1996-11-02,Ashe,Ezreal,Tristana,LCK
KELLIN,19,Support,South Korea,Jin Air Green Wings,2001-02-01,Tahm Kench,Lux,Alistar,LCK
NOVA,19,Support,South Korea,Jin Air Green Wings,1997-11-27,Tahm Kench,Galio,Braum,LCK
RASCAL,19,Top Laner,South Korea,Kingzone DragonX,1997-10-16,Camille,Akali,Kennen,LCK
CUZZ,19,Jungler,South Korea,Kingzone DragonX,1999-10-30,Rek'Sai,Gragas,Jarvan IV,LCK
PAWN,19,Mid Laner,South Korea,Kingzone DragonX,1997-01-26,Ryze,Lissandra,Yasuo,LCK
NAEHYUN,19,Mid Laner,South Korea,Kingzone DragonX,1996-02-07,Azir,Yasuo,Neeko,LCK
DEFT,19,Bot Laner,South Korea,Kingzone DragonX,1996-10-23,Lucian,Ezreal,Xayah,LCK
TUSIN,19,Support,South Korea,Kingzone DragonX,1995-11-12,Tahm Kench,Rakan,Braum,LCK
SMEB,19,Top Laner,South Korea,KT Rolster,1995-06-30,Jayce,Yorick,Aatrox,LCK
KINGEN,19,Top Laner,South Korea,KT Rolster,2000-03-11,Aatrox,Camille,Neeko,LCK
SCORE,19,Jungler,South Korea,KT Rolster,1992-07-08,Gragas,Rek'Sai,Sejuani,LCK
UMTI,19,Jungler,South Korea,KT Rolster,1999-06-02,Lee Sin,Nocturne,Jarvan IV,LCK
BDD,19,Mid Laner,South Korea,KT Rolster,1999-03-01,Azir,Zoe,Lissandra,LCK
ZENIT,19,Bot Laner,South Korea,KT Rolster,2000-05-08,Vladimir,Kalista,Kai'Sa,LCK
GANGO,19,Bot Laner,South Korea,KT Rolster,1997-05-16,Lucian,Draven,Ashe,LCK
SNOWFLOWER,19,Support,South Korea,KT Rolster,1997-02-24,Nautilus,Tahm Kench,Alistar,LCK
SUMMIT,19,Top Laner,South Korea,SANDBOX Gaming,1998-12-08,Jayce,Aatrox,Renekton,LCK
WIZER,19,Top Laner,South Korea,SANDBOX Gaming,1998-11-29,Aatrox,Jayce,Akali,LCK
ONFLEEK,19,Jungler,South Korea,SANDBOX Gaming,1997-12-20,Lee Sin,Jarvan IV,Olaf,LCK
CRUSH,19,Jungler,South Korea,SANDBOX Gaming,1998-01-03,Camille,Olaf,Rek'Sai,LCK
DOVE,19,Mid Laner,South Korea,SANDBOX Gaming,1998-07-25,Azir,LeBlanc,Ryze,LCK
GHOST,19,Bot Laner,South Korea,SANDBOX Gaming,1999-03-18,Lucian,Varus,Draven,LCK
JOKER,19,Support,South Korea,SANDBOX Gaming,1991-12-11,Tahm Kench,Braum,Thresh,LCK
KHAN,19,Top Laner,South Korea,SK Telecom T1,1995-12-22,Aatrox,Jayce,Urgot,LCK
CLID,19,Jungler,South Korea,SK Telecom T1,1999-07-07,Lee Sin,Jarvan IV,Elise,LCK
FAKER,19,Mid Laner,South Korea,SK Telecom T1,1996-05-07,Lissandra,Azir,Akali,LCK
TEDDY,19,Bot Laner,South Korea,SK Telecom T1,1998-03-15,Ezreal,Varus,Kai'Sa,LCK
MATA,19,Support,South Korea,SK Telecom T1,1994-02-27,Braum,Tahm Kench,Galio,LCK
KIIN,18,Top Laner,South Korea,Afreeca Freecs,1999-05-28,Gangplank,Gnar,Camille,LCK
SPIRIT,18,Jungler,South Korea,Afreeca Freecs,1996-07-01,Gragas,Sejuani,Camille,LCK
MOWGLI,18,Jungler,South Korea,Afreeca Freecs,1998-04-14,Zac,Sejuani,Skarner,LCK
KURO,18,Mid Laner,South Korea,Afreeca Freecs,1994-01-04,Zoe,Galio,Azir,LCK
KRAMER,18,Bot Laner,South Korea,Afreeca Freecs,1996-03-09,Varus,Ezreal,Xayah,LCK
AIMING,18,Bot Laner,South Korea,Afreeca Freecs,2000-07-20,Xayah,Varus,Vladimir,LCK
TUSIN,18,Support,South Korea,Afreeca Freecs,1995-11-12,Alistar,Tahm Kench,Shen,LCK
CRAZY,18,Top Laner,South Korea,bbq Olivers,1996-09-20,Gnar,Dr. Mundo,Ornn,LCK
TRICK,18,Jungler,South Korea,bbq Olivers,1995-07-11,Sejuani,Trundle,Skarner,LCK
BONO,18,Jungler,South Korea,bbq Olivers,1995-02-27,Sejuani,Jarvan IV,Jax,LCK
TEMPT,18,Mid Laner,South Korea,bbq Olivers,1998-05-13,Azir,Zoe,Corki,LCK
GHOST,18,Bot Laner,South Korea,bbq Olivers,1999-03-18,Varus,Ezreal,Tristana,LCK
IGNAR,18,Support,South Korea,bbq Olivers,1996-11-20,Alistar,Braum,Tahm Kench,LCK
SOHWAN,18,Top Laner,South Korea,Jin Air Green Wings,1996-10-24,Gnar,Ornn,Gangplank,LCK
UMTI,18,Jungler,South Korea,Jin Air Green Wings,1999-06-02,Sejuani,Skarner,Jarvan IV,LCK
YAHARONG,18,Mid Laner,South Korea,Jin Air Green Wings,2000-06-12,Ryze,Taliyah,Azir,LCK
JUSTICE,18,Mid Laner,South Korea,Jin Air Green Wings,1998-01-04,Azir,Orianna,Aurelion Sol,LCK
TEDDY,18,Bot Laner,South Korea,Jin Air Green Wings,1998-03-15,Xayah,Caitlyn,Tristana,LCK
WRAITH,18,Support,South Korea,Jin Air Green Wings,1995-09-28,Braum,Taric,Rakan,LCK
RASCAL,18,Top Laner,South Korea,Kingzone DragonX,1997-10-16,Camille,Gangplank,Cho'Gath,LCK
KHAN,18,Top Laner,South Korea,Kingzone DragonX,1995-12-22,Jayce,Gnar,Camille,LCK
PEANUT,18,Jungler,South Korea,Kingzone DragonX,1998-02-03,Sejuani,Trundle,Olaf,LCK
CUZZ,18,Jungler,South Korea,Kingzone DragonX,1999-10-30,Camille,Sejuani,Jax,LCK
BDD,18,Mid Laner,South Korea,Kingzone DragonX,1999-03-01,Ryze,Zoe,Taliyah,LCK
PRAY,18,Bot Laner,South Korea,Kingzone DragonX,1994-01-06,Ezreal,Varus,Xayah,LCK
GORILLA,18,Support,South Korea,Kingzone DragonX,1994-11-18,Tahm Kench,Alistar,Braum,LCK
ROACH,18,Top Laner,South Korea,Kongdoo Monster,1999-01-31,Gnar,Ornn,Gangplank,LCK
RAISE,18,Jungler,South Korea,Kongdoo Monster,1997-10-18,Zac,Jarvan IV,Olaf,LCK
WIZ,18,Jungler,South Korea,Kongdoo Monster,1998-04-23,Sejuani,Jarvan IV,Trundle,LCK
EDGE,18,Mid Laner,South Korea,Kongdoo Monster,1997-12-03,Zoe,Azir,Taliyah,LCK
SSOL,18,Bot Laner,South Korea,Kongdoo Monster,1998-03-04,Ezreal,Kog'Maw,Kai'Sa,LCK
SECRET,18,Support,South Korea,Kongdoo Monster,1997-05-27,Tahm Kench,Alistar,Shen,LCK
CUVEE,18,Top Laner,South Korea,KSV eSports,1996-09-27,Gnar,Gangplank,Ornn,LCK
AMBITION,18,Jungler,South Korea,KSV eSports,1992-10-27,Sejuani,Trundle,Skarner,LCK
HARU,18,Jungler,South Korea,KSV eSports,1998-06-03,Camille,Rengar,Gragas,LCK
CROWN,18,Mid Laner,South Korea,KSV eSports,1995-02-28,Zoe,Vel'Koz,Azir,LCK
RULER,18,Bot Laner,South Korea,KSV eSports,1998-12-29,Varus,Xayah,Ezreal,LCK
COREJJ,18,Support,South Korea,KSV eSports,1994-06-22,Braum,Rakan,Tahm Kench,LCK
SMEB,18,Top Laner,South Korea,KT Rolster,1995-06-30,Gnar,Gangplank,Camille,LCK
SCORE,18,Jungler,South Korea,KT Rolster,1992-07-08,Sejuani,Trundle,Gragas,LCK
RUSH,18,Jungler,South Korea,KT Rolster,1993-04-06,Nocturne,Olaf,Camille,LCK
PAWN,18,Mid Laner,South Korea,KT Rolster,1997-01-26,Ryze,Azir,Malzahar,LCK
UCAL,18,Mid Laner,South Korea,KT Rolster,2001-01-30,Azir,Swain,Taliyah,LCK
DEFT,18,Bot Laner,South Korea,KT Rolster,1996-10-23,Varus,Ezreal,Xayah,LCK
MATA,18,Support,South Korea,KT Rolster,1994-02-27,Tahm Kench,Braum,Shen,LCK
ADD,18,Top Laner,South Korea,MVP,1998-10-17,Gangplank,Ornn,Cho'Gath,LCK
BEYOND,18,Jungler,South Korea,MVP,1997-08-18,Sejuani,Zac,Skarner,LCK
IAN,18,Mid Laner,South Korea,MVP,1998-01-22,Zoe,Azir,Corki,LCK
MAHA,18,Bot Laner,South Korea,MVP,1995-11-07,Ezreal,Varus,Kog'Maw,LCK
PILOT,18,Bot Laner,South Korea,MVP,1995-12-04,Ezreal,Caitlyn,Tristana,LCK
MAX,18,Support,South Korea,MVP,1996-05-30,Rakan,Braum,Tahm Kench,LCK
LINDARANG,18,Top Laner,South Korea,ROX Tigers,1997-08-25,Gnar,Gangplank,Camille,LCK
MIGHTYBEAR,18,Jungler,South Korea,ROX Tigers,1995-09-06,Sejuani,Jarvan IV,Kindred,LCK
SEONGHWAN,18,Jungler,South Korea,ROX Tigers,1997-12-11,Sejuani,Jarvan IV,Trundle,LCK
KUZAN,18,Mid Laner,South Korea,ROX Tigers,1997-01-07,Azir,Karma,Lissandra,LCK
LAVA,18,Mid Laner,South Korea,ROX Tigers,1999-07-14,Zoe,Ryze,Azir,LCK
SANGYOON,18,Bot Laner,South Korea,ROX Tigers,1995-12-20,Varus,Ezreal,Kalista,LCK
KEY,18,Support,South Korea,ROX Tigers,1997-06-20,Tahm Kench,Shen,Braum,LCK
UNTARA,18,Top Laner,South Korea,SK Telecom T1,1996-12-31,Gnar,Ornn,Trundle,LCK
THAL,18,Top Laner,South Korea,SK Telecom T1,1998-11-13,Gangplank,Darius,Vladimir,LCK
BLANK,18,Jungler,South Korea,SK Telecom T1,1998-04-30,Sejuani,Trundle,Zac,LCK
WOLF,18,Support,South Korea,SK Telecom T1,1996-09-09,Alistar,Taric,Rakan,LCK
BLOSSOM,18,Jungler,South Korea,SK Telecom T1,1999-10-12,Jarvan IV,Zac,Skarner,LCK
FAKER,18,Mid Laner,South Korea,SK Telecom T1,1996-05-07,Galio,Azir,Ryze,LCK
BANG,18,Bot Laner,South Korea,SK Telecom T1,1996-05-18,Ezreal,Varus,Xayah,LCK
EFFORT,18,Support,South Korea,SK Telecom T1,2000-11-23,Tahm Kench,Braum,Alistar,LCK
MARIN,17,Top Laner,South Korea,Afreeca Freecs,1991-02-12,Maokai,Rumble,Renekton,LCK
SPIRIT,17,Jungler,South Korea,Afreeca Freecs,1996-07-01,Elise,Lee Sin,Olaf,LCK
MOWGLI,17,Jungler,South Korea,Afreeca Freecs,1998-04-14,Rek'Sai,Graves,Rengar,LCK
KURO,17,Mid Laner,South Korea,Afreeca Freecs,1994-01-04,Corki,Taliyah,Orianna,LCK
KRAMER,17,Bot Laner,South Korea,Afreeca Freecs,1996-03-09,Ashe,Xayah,Jhin,LCK
TUSIN,17,Support,South Korea,Afreeca Freecs,1995-11-12,Braum,Karma,Lulu,LCK
CRAZY,17,Top Laner,South Korea,bbq Olivers,1996-09-20,Shen,Maokai,Nautilus,LCK
PART,17,Top Laner,South Korea,bbq Olivers,1995-02-12,Shen,Nautilus,Ekko,LCK
BLESS,17,Jungler,South Korea,bbq Olivers,1996-10-23,Rek'Sai,Elise,Kha'Zix,LCK
TEMPT,17,Mid Laner,South Korea,bbq Olivers,1998-05-13,Taliyah,Cassiopeia,Syndra,LCK
GHOST,17,Bot Laner,South Korea,bbq Olivers,1999-03-18,Jhin,Varus,Ashe,LCK
TOTORO,17,Support,South Korea,bbq Olivers,1996-05-06,Braum,Zyra,Karma,LCK
IKSSU,17,Top Laner,South Korea,Jin Air Green Wings,1996-10-22,Kled,Nautilus,Rumble,LCK
SOHWAN,17,Top Laner,South Korea,Jin Air Green Wings,1996-10-24,Renekton,Jayce,Rumble,LCK
UMTI,17,Jungler,South Korea,Jin Air Green Wings,1999-06-02,Lee Sin,Graves,Rek'Sai,LCK
RAISE,17,Jungler,South Korea,Jin Air Green Wings,1997-10-18,Elise,Alistar,Graves,LCK
KUZAN,17,Mid Laner,South Korea,Jin Air Green Wings,1997-01-07,Corki,Viktor,LeBlanc,LCK
TEDDY,17,Bot Laner,South Korea,Jin Air Green Wings,1998-03-15,Jhin,Ashe,Varus,LCK
SNOWFLOWER,17,Support,South Korea,Jin Air Green Wings,1997-02-24,Zyra,Braum,Thresh,LCK
ROACH,17,Top Laner,South Korea,Kongdoo Monster,1999-01-31,Shen,Poppy,Nautilus,LCK
PUNCH,17,Jungler,South Korea,Kongdoo Monster,1998-06-06,Lee Sin,Elise,Rek'Sai,LCK
EDGE,17,Mid Laner,South Korea,Kongdoo Monster,1997-12-03,Syndra,Orianna,Taliyah,LCK
SSOL,17,Bot Laner,South Korea,Kongdoo Monster,1998-03-04,Jhin,Ezreal,Xayah,LCK
GUGER,17,Support,South Korea,Kongdoo Monster,1994-02-07,Karma,Zyra,Braum,LCK
SECRET,17,Support,South Korea,Kongdoo Monster,1997-05-27,Alistar,Rakan,Galio,LCK
SMEB,17,Top Laner,South Korea,KT Rolster,1995-06-30,Rumble,Renekton,Shen,LCK
SCORE,17,Jungler,South Korea,KT Rolster,1992-07-08,Elise,Gragas,Kha'Zix,LCK
PAWN,17,Mid Laner,South Korea,KT Rolster,1997-01-26,Orianna,Galio,Taliyah,LCK
DEFT,17,Bot Laner,South Korea,KT Rolster,1996-10-23,Ashe,Varus,Kalista,LCK
MATA,17,Support,South Korea,KT Rolster,1994-02-27,Thresh,Karma,Zyra,LCK
EXPESSION,17,Top Laner,South Korea,Longzhu Gaming,1992-09-16,Nautilus,Shen,Maokai,LCK
CRASH,17,Jungler,South Korea,Longzhu Gaming,1997-01-05,Gragas,Kha'Zix,Lee Sin,LCK
FLY,17,Mid Laner,South Korea,Longzhu Gaming,1996-02-25,Corki,Orianna,Ryze,LCK
PRAY,17,Bot Laner,South Korea,Longzhu Gaming,1994-01-06,Ashe,Varus,Jhin,LCK
GORILLA,17,Support,South Korea,Longzhu Gaming,1994-11-18,Karma,Thresh,Zyra,LCK
ADD,17,Top Laner,South Korea,MVP,1998-10-17,Jarvan IV,Maokai,Sion,LCK
BEYOND,17,Jungler,South Korea,MVP,1997-08-18,Elise,Rek'Sai,Graves,LCK
IAN,17,Mid Laner,South Korea,MVP,1998-01-22,Orianna,Syndra,Corki,LCK
MAHA,17,Bot Laner,South Korea,MVP,1995-11-07,Varus,Ashe,Xayah,LCK
MAX,17,Support,South Korea,MVP,1996-05-30,Thresh,Rakan,Tahm Kench,LCK
LINDARANG,17,Top Laner,South Korea,ROX Tigers,1997-08-25,Maokai,Shen,Jarvan IV,LCK
SHY,17,Top Laner,South Korea,ROX Tigers,1991-07-19,Shen,Nautilus,Renekton,LCK
SEONGHWAN,17,Jungler,South Korea,ROX Tigers,1997-12-11,Elise,Kha'Zix,Rengar,LCK
MIGHTYBEAR,17,Jungler,South Korea,ROX Tigers,1995-09-06,Elise,Graves,Rengar,LCK
MICKEY,17,Mid Laner,South Korea,ROX Tigers,1997-07-15,Syndra,Orianna,Taliyah,LCK
SANGYOON,17,Bot Laner,South Korea,ROX Tigers,1995-12-20,Ashe,Jhin,Xayah,LCK
KEY,17,Support,South Korea,ROX Tigers,1997-06-20,Thresh,Braum,Malzahar,LCK
CUVEE,17,Top Laner,South Korea,Samsung Galaxy,1996-09-27,Maokai,Gnar,Kled,LCK
AMBITION,17,Jungler,South Korea,Samsung Galaxy,1992-10-27,Gragas,Kha'Zix,Lee Sin,LCK
HARU,17,Jungler,South Korea,Samsung Galaxy,1998-06-03,Rengar,Lee Sin,Graves,LCK
CROWN,17,Mid Laner,South Korea,Samsung Galaxy,1995-02-28,Orianna,Taliyah,Syndra,LCK
RULER,17,Bot Laner,South Korea,Samsung Galaxy,1998-12-29,Varus,Jhin,Ashe,LCK
STITCH,17,Bot Laner,South Korea,Samsung Galaxy,1996-11-02,Ashe,Jhin,Caitlyn,LCK
COREJJ,17,Support,South Korea,Samsung Galaxy,1994-06-22,Zyra,Karma,Braum,LCK
WRAITH,17,Support,South Korea,Samsung Galaxy,1995-09-28,Thresh,Karma,Leona,LCK
HUNI,17,Top Laner,South Korea,SK Telecom T1,1997-12-25,Rumble,Maokai,Galio,LCK
PROFIT,17,Top Laner,South Korea,SK Telecom T1,1995-09-15,Rumble,Gnar,Jarvan IV,LCK
PEANUT,17,Jungler,South Korea,SK Telecom T1,1998-02-03,Lee Sin,Graves,Rengar,LCK
BLANK,17,Jungler,South Korea,SK Telecom T1,1998-04-30,Gragas,Lee Sin,Kha'Zix,LCK
FAKER,17,Mid Laner,South Korea,SK Telecom T1,1996-05-07,Orianna,Cassiopeia,Galio,LCK
BANG,17,Bot Laner,South Korea,SK Telecom T1,1996-05-18,Ashe,Varus,Ezreal,LCK
WOLF,17,Support,South Korea,SK Telecom T1,1996-09-09,Lulu,Karma,Tahm Kench,LCK
IKSSU,16,Top Laner,South Korea,Afreeca Freecs,1996-10-22,Poppy,Maokai,Ekko,LCK
LIRA,16,Jungler,South Korea,Afreeca Freecs,1995-01-15,Rek'Sai,Graves,Nidalee,LCK
MICKEY,16,Mid Laner,South Korea,Afreeca Freecs,1997-07-15,Twisted Fate,Lulu,LeBlanc,LCK
SANGYOON,16,Bot Laner,South Korea,Afreeca Freecs,1995-12-20,Kalista,Ashe,Sivir,LCK
SNOWFLOWER,16,Support,South Korea,Afreeca Freecs,1997-02-24,Braum,Trundle,Thresh,LCK
UNTARA,16,Top Laner,South Korea,CJ Entus,1996-12-31,Maokai,Poppy,Fiora,LCK
BUBBLING,16,Jungler,South Korea,CJ Entus,1993-04-13,Elise,Kindred,Graves,LCK
SKY,16,Mid Laner,South Korea,CJ Entus,1998-07-17,Viktor,Twisted Fate,Lulu,LCK
BDD,16,Mid Laner,South Korea,CJ Entus,1999-03-01,Azir,Viktor,LeBlanc,LCK
KRAMER,16,Bot Laner,South Korea,CJ Entus,1996-03-09,Lucian,Ezreal,Kalista,LCK
MADLIFE,16,Support,South Korea,CJ Entus,1992-10-05,Braum,Alistar,Bard,LCK
TRACE,16,Top Laner,South Korea,Jin Air Green Wings,1989-11-02,Gangplank,Gnar,Ekko,LCK
SOHWAN,16,Top Laner,South Korea,Jin Air Green Wings,1996-10-24,Riven,Shen,Fiora,LCK
WINGED,16,Jungler,South Korea,Jin Air Green Wings,1992-08-20,Elise,Graves,Gragas,LCK
KUZAN,16,Mid Laner,South Korea,Jin Air Green Wings,1997-01-07,Lissandra,LeBlanc,Viktor,LCK
PILOT,16,Bot Laner,South Korea,Jin Air Green Wings,1995-12-04,Lucian,Sivir,Kalista,LCK
CHEI,16,Support,South Korea,Jin Air Green Wings,1996-06-30,Alistar,Trundle,Braum,LCK
HIPO,16,Top Laner,South Korea,Kongdoo Monster,1998-02-02,Nautilus,Maokai,Tahm Kench,LCK
ROACH,16,Top Laner,South Korea,Kongdoo Monster,1999-01-31,Ekko,Gangplank,Irelia,LCK
CRUSH,16,Jungler,South Korea,Kongdoo Monster,1998-01-03,Elise,Nidalee,Kindred,LCK
EDGE,16,Mid Laner,South Korea,Kongdoo Monster,1997-12-03,Varus,Viktor,Vladimir,LCK
SSOL,16,Bot Laner,South Korea,Kongdoo Monster,1998-03-04,Lucian,Ezreal,Corki,LCK
GUGER,16,Support,South Korea,Kongdoo Monster,1994-02-07,Braum,Alistar,Thresh,LCK
SSUMDAY,16,Top Laner,South Korea,KT Rolster,1996-07-03,Gnar,Ekko,Poppy,LCK
SCORE,16,Jungler,South Korea,KT Rolster,1992-07-08,Elise,Kindred,Gragas,LCK
FLY,16,Mid Laner,South Korea,KT Rolster,1996-02-25,Viktor,Zilean,Lissandra,LCK
ARROW,16,Bot Laner,South Korea,KT Rolster,1994-07-20,Sivir,Lucian,Kalista,LCK
HACHANI,16,Support,South Korea,KT Rolster,1994-12-24,Braum,Alistar,Trundle,LCK
IGNAR,16,Support,South Korea,KT Rolster,1996-11-20,Thresh,Alistar,Braum,LCK
EXPESSION,16,Top Laner,South Korea,Longzhu Gaming,1992-09-16,Ekko,Gnar,Gangplank,LCK
FLAME,16,Top Laner,South Korea,Longzhu Gaming,1992-08-13,Poppy,Gangplank,Fiora,LCK
CHASER,16,Jungler,South Korea,Longzhu Gaming,1995-08-01,Elise,Rek'Sai,Nidalee,LCK
CRASH,16,Jungler,South Korea,Longzhu Gaming,1997-01-05,Rek'Sai,Elise,Nidalee,LCK
COCO,16,Mid Laner,South Korea,Longzhu Gaming,1994-03-14,Lulu,Lissandra,Azir,LCK
FROZEN,16,Mid Laner,South Korea,Longzhu Gaming,1994-11-04,Karma,Viktor,Malzahar,LCK
CPT JACK,16,Bot Laner,South Korea,Longzhu Gaming,1993-01-04,Lucian,Corki,Ezreal,LCK
FURY,16,Bot Laner,South Korea,Longzhu Gaming,1995-11-11,Lucian,Sivir,Jhin,LCK
PURE,16,Support,South Korea,Longzhu Gaming,1995-12-29,Bard,Braum,Alistar,LCK
ZZUS,16,Support,South Korea,Longzhu Gaming,1998-08-30,Nautilus,Trundle,Alistar,LCK
SMEB,16,Top Laner,South Korea,ROX Tigers,1995-06-30,Rumble,Poppy,Ekko,LCK
PEANUT,16,Jungler,South Korea,ROX Tigers,1998-02-03,Elise,Kindred,Rek'Sai,LCK
KURO,16,Mid Laner,South Korea,ROX Tigers,1994-01-04,Viktor,LeBlanc,Lissandra,LCK
PRAY,16,Bot Laner,South Korea,ROX Tigers,1994-01-06,Ashe,Jhin,Sivir,LCK
GORILLA,16,Support,South Korea,ROX Tigers,1994-11-18,Alistar,Trundle,Braum,LCK
CUVEE,16,Top Laner,South Korea,Samsung Galaxy,1996-09-27,Poppy,Ekko,Gangplank,LCK
AMBITION,16,Jungler,South Korea,Samsung Galaxy,1992-10-27,Rek'Sai,Elise,Gragas,LCK
CROWN,16,Mid Laner,South Korea,Samsung Galaxy,1995-02-28,Viktor,Varus,Cassiopeia,LCK
COREJJ,16,Support,South Korea,Samsung Galaxy,1994-06-22,Lucian,Tahm Kench,Corki,LCK
STITCH,16,Bot Laner,South Korea,Samsung Galaxy,1996-11-02,Lucian,Tristana,Kalista,LCK
WRAITH,16,Support,South Korea,Samsung Galaxy,1995-09-28,Alistar,Braum,Trundle,LCK
SOAR,16,Top Laner,South Korea,SBENU Sonicboom,1997-05-28,Irelia,Poppy,Lissandra,LCK
SOUL,16,Top Laner,South Korea,SBENU Sonicboom,1994-11-16,Poppy,Maokai,Ryze,LCK
FLAWLESS,16,Jungler,South Korea,SBENU Sonicboom,1998-07-26,Nidalee,Elise,Rek'Sai,LCK
SASIN,16,Mid Laner,South Korea,SBENU Sonicboom,1994-02-03,Corki,Azir,Jayce,LCK
NUCLEAR,16,Bot Laner,South Korea,SBENU Sonicboom,1997-05-19,Lucian,Sivir,Ashe,LCK
SECRET,16,Support,South Korea,SBENU Sonicboom,1997-05-27,Alistar,Braum,Trundle,LCK
DUKE,16,Top Laner,South Korea,SK Telecom T1,1994-12-19,Trundle,Poppy,Ekko,LCK
BENGI,16,Jungler,South Korea,SK Telecom T1,1993-11-21,Elise,Rek'Sai,Gragas,LCK
BLANK,16,Jungler,South Korea,SK Telecom T1,1998-04-30,Gragas,Elise,Kindred,LCK
FAKER,16,Mid Laner,South Korea,SK Telecom T1,1996-05-07,Azir,Viktor,Lulu,LCK
SCOUT,16,Mid Laner,South Korea,SK Telecom T1,1998-03-14,Viktor,Azir,Ryze,LCK
BANG,16,Bot Laner,South Korea,SK Telecom T1,1996-05-18,Sivir,Ezreal,Lucian,LCK
WOLF,16,Support,South Korea,SK Telecom T1,1996-09-09,Alistar,Braum,Nami,LCK
SHY,15,Top Laner,South Korea,CJ Entus,1991-07-19,Maokai,Rumble,Hecarim,LCK
AMBITION,15,Jungler,South Korea,CJ Entus,1992-10-27,Rek'Sai,Lee Sin,Nunu,LCK
COCO,15,Mid Laner,South Korea,CJ Entus,1994-03-14,Azir,Jayce,LeBlanc,LCK
SPACE,15,Bot Laner,South Korea,CJ Entus,1993-09-05,Sivir,Corki,Kog'Maw,LCK
MADLIFE,15,Support,South Korea,CJ Entus,1992-10-05,Thresh,Nautilus,Janna,LCK
SMEB,15,Top Laner,South Korea,GE Tigers,1995-06-30,Rumble,Maokai,Gnar,LCK
LEE,15,Jungler,South Korea,GE Tigers,1992-01-04,Rek'Sai,Lee Sin,Jarvan IV,LCK
KURO,15,Mid Laner,South Korea,GE Tigers,1994-01-04,Viktor,Azir,Kassadin,LCK
PRAY,15,Bot Laner,South Korea,GE Tigers,1994-01-06,Corki,Sivir,Lucian,LCK
GORILLA,15,Support,South Korea,GE Tigers,1994-11-18,Janna,Alistar,Annie,LCK
LIL4C,15,Top Laner,South Korea,Incredible Miracle,1992-02-17,Maokai,Lissandra,Gnar,LCK
WISDOM,15,Jungler,South Korea,Incredible Miracle,1995-12-23,Gragas,Jarvan IV,Lee Sin,LCK
ARES,15,Jungler,South Korea,Incredible Miracle,1995-12-11,Jarvan IV,Lee Sin,Rek'Sai,LCK
FROZEN,15,Mid Laner,South Korea,Incredible Miracle,1994-11-04,Viktor,Xerath,Cassiopeia,LCK
